pos,last_before,first_after,missing_bars,delta_min
15227,2012-12-31 20:00:00+00:00,2013-01-01 20:00:00+00:00,5,1440.0
16811,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
16837,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
18421,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
18447,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
20031,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
20056,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
23252,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
23277,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
24861,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
24887,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
26471,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
26497,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
28087,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
28112,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
32920,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
32945,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
34535,2024-12-25 04:00:00+00:00,2024-12-25 20:00:00+00:00,3,960.0
34561,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
36145,2025-12-25 04:00:00+00:00,2025-12-25 20:00:00+00:00,3,960.0
36171,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
