pos,last_before,first_after,missing_bars,delta_min
15228,2013-01-01 00:00:00+00:00,2013-01-01 20:00:00+00:00,4,1200.0
16812,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
16838,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
18422,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
18448,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
20032,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
20057,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
23253,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
23278,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
24862,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
24888,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
26472,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
26498,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
28088,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
28113,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
32921,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
32946,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
34536,2024-12-25 04:00:00+00:00,2024-12-25 20:00:00+00:00,3,960.0
34562,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
36146,2025-12-25 04:00:00+00:00,2025-12-25 20:00:00+00:00,3,960.0
36172,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
