pos,last_before,first_after,missing_bars,delta_min
86,2006-01-20 20:00:00+00:00,2006-01-23 04:00:00+00:00,1,3360.0
1572,2006-12-22 20:00:00+00:00,2006-12-26 08:00:00+00:00,8,5040.0
1594,2006-12-29 20:00:00+00:00,2007-01-02 04:00:00+00:00,7,4800.0
1772,2007-02-09 20:00:00+00:00,2007-02-12 08:00:00+00:00,2,3600.0
6449,2010-01-01 16:00:00+00:00,2010-01-03 20:00:00+00:00,1,3120.0
6971,2010-04-30 00:00:00+00:00,2010-05-02 20:00:00+00:00,5,4080.0
11287,2012-12-31 20:00:00+00:00,2013-01-01 20:00:00+00:00,5,1440.0
12871,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
12897,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
14481,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
14507,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
16091,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
16116,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
17728,2016-12-30 20:00:00+00:00,2017-01-02 04:00:00+00:00,1,3360.0
19309,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
19334,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
20918,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
20944,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
22528,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
22554,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
24144,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
24169,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
25749,2021-12-24 16:00:00+00:00,2021-12-26 20:00:00+00:00,1,3120.0
27391,2022-12-30 20:00:00+00:00,2023-01-02 04:00:00+00:00,1,3360.0
28970,2023-12-22 20:00:00+00:00,2023-12-25 04:00:00+00:00,1,3360.0
28971,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
28996,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
30584,2024-12-24 20:00:00+00:00,2024-12-25 20:00:00+00:00,5,1440.0
30610,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
32193,2025-12-25 00:00:00+00:00,2025-12-25 20:00:00+00:00,4,1200.0
32219,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
