pos,last_before,first_after,missing_bars,delta_min
401,2003-08-01 16:00:00+00:00,2003-08-03 20:00:00+00:00,1,3120.0
15629,2013-01-01 00:00:00+00:00,2013-01-01 20:00:00+00:00,4,1200.0
17213,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
17239,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
18823,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
18849,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
20433,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
20458,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
23654,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
23679,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
25263,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
25289,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
26873,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
26899,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
28489,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
28514,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
33322,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
33347,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
34937,2024-12-25 04:00:00+00:00,2024-12-25 20:00:00+00:00,3,960.0
34963,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
36547,2025-12-25 04:00:00+00:00,2025-12-25 20:00:00+00:00,3,960.0
36573,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
