pos,last_before,first_after,missing_bars,delta_min
25531,2015-05-06 12:30:00+00:00,2015-05-06 13:35:00+00:00,12,65.0
64034,2015-11-10 07:05:00+00:00,2015-11-10 07:15:00+00:00,1,10.0
73517,2015-12-25 05:25:00+00:00,2015-12-25 05:35:00+00:00,1,10.0
73546,2015-12-25 07:55:00+00:00,2015-12-27 22:00:00+00:00,168,3725.0
74698,2015-12-31 21:55:00+00:00,2016-01-03 22:00:00+00:00,288,4325.0
148372,2016-12-26 17:25:00+00:00,2016-12-26 17:35:00+00:00,1,10.0
148407,2016-12-26 20:25:00+00:00,2016-12-26 20:35:00+00:00,1,10.0
149580,2017-01-01 22:15:00+00:00,2017-01-01 22:25:00+00:00,1,10.0
223015,2017-12-22 21:55:00+00:00,2017-12-24 23:00:00+00:00,12,2945.0
223123,2017-12-25 07:55:00+00:00,2017-12-25 22:30:00+00:00,174,875.0
224269,2017-12-29 21:55:00+00:00,2018-01-01 22:00:00+00:00,288,4325.0
297709,2018-12-24 21:55:00+00:00,2018-12-24 22:05:00+00:00,1,10.0
297828,2018-12-25 07:55:00+00:00,2018-12-25 22:00:00+00:00,168,845.0
298981,2018-12-31 22:00:00+00:00,2019-01-01 22:00:00+00:00,287,1440.0
315685,2019-03-22 20:55:00+00:00,2019-03-24 21:05:00+00:00,1,2890.0
372420,2019-12-24 21:55:00+00:00,2019-12-24 22:55:00+00:00,11,60.0
372529,2019-12-25 07:55:00+00:00,2019-12-25 22:00:00+00:00,168,845.0
373681,2019-12-31 21:55:00+00:00,2020-01-01 22:00:00+00:00,288,1445.0
382021,2020-02-11 20:55:00+00:00,2020-02-11 21:10:00+00:00,2,15.0
382031,2020-02-11 21:55:00+00:00,2020-02-11 22:05:00+00:00,1,10.0
390094,2020-03-20 20:55:00+00:00,2020-03-22 21:05:00+00:00,1,2890.0
395853,2020-04-17 20:55:00+00:00,2020-04-19 21:05:00+00:00,1,2890.0
422349,2020-08-25 21:00:00+00:00,2020-08-25 21:10:00+00:00,1,10.0
422926,2020-08-27 21:10:00+00:00,2020-08-27 21:20:00+00:00,1,10.0
425521,2020-09-09 21:30:00+00:00,2020-09-09 21:45:00+00:00,2,15.0
447403,2020-12-24 22:10:00+00:00,2020-12-24 22:40:00+00:00,5,30.0
447404,2020-12-24 22:40:00+00:00,2020-12-24 22:50:00+00:00,1,10.0
