pos,last_before,first_after,missing_bars,delta_min
85,2003-08-21 16:00:00+00:00,2003-08-22 08:00:00+00:00,3,960.0
9484,2009-06-15 04:00:00+00:00,2009-06-15 12:00:00+00:00,1,480.0
15222,2012-12-31 20:00:00+00:00,2013-01-01 20:00:00+00:00,5,1440.0
16806,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
16832,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
18416,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
18442,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
20026,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
20051,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
23247,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
23272,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
24856,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
24882,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
26466,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
26492,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
28082,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
28107,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
32914,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
32939,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
34529,2024-12-25 04:00:00+00:00,2024-12-25 20:00:00+00:00,3,960.0
34555,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
36139,2025-12-25 04:00:00+00:00,2025-12-25 20:00:00+00:00,3,960.0
36165,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
