pos,last_before,first_after,missing_bars,delta_min
86,2006-01-20 20:00:00+00:00,2006-01-23 04:00:00+00:00,1,3360.0
1572,2006-12-22 20:00:00+00:00,2006-12-26 08:00:00+00:00,8,5040.0
1594,2006-12-29 20:00:00+00:00,2007-01-02 04:00:00+00:00,7,4800.0
1772,2007-02-09 20:00:00+00:00,2007-02-12 08:00:00+00:00,2,3600.0
11293,2012-12-31 20:00:00+00:00,2013-01-01 20:00:00+00:00,5,1440.0
12877,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
12903,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
14487,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
14513,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
16097,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
16122,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
17734,2016-12-30 20:00:00+00:00,2017-01-02 04:00:00+00:00,1,3360.0
19315,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
19340,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
20924,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
20950,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
22534,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
22560,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
24150,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
24175,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
27399,2022-12-30 20:00:00+00:00,2023-01-02 04:00:00+00:00,1,3360.0
28978,2023-12-22 20:00:00+00:00,2023-12-25 04:00:00+00:00,1,3360.0
28979,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
29004,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
30592,2024-12-24 20:00:00+00:00,2024-12-25 20:00:00+00:00,5,1440.0
30618,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
32200,2025-12-24 20:00:00+00:00,2025-12-25 20:00:00+00:00,5,1440.0
32226,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
