pos,last_before,first_after,missing_bars,delta_min
402,2003-08-01 16:00:00+00:00,2003-08-03 20:00:00+00:00,1,3120.0
15625,2012-12-31 20:00:00+00:00,2013-01-01 20:00:00+00:00,5,1440.0
17209,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
17235,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
18819,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
18845,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
20429,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
20454,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
23650,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
23675,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
25259,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
25285,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
26869,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
26895,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
28485,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
28510,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
33317,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
33342,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
34932,2024-12-25 04:00:00+00:00,2024-12-25 20:00:00+00:00,3,960.0
34958,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
36542,2025-12-25 04:00:00+00:00,2025-12-25 20:00:00+00:00,3,960.0
36568,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
