pos,last_before,first_after,missing_bars,delta_min
86,2006-01-20 20:00:00+00:00,2006-01-23 04:00:00+00:00,1,3360.0
666,2006-06-01 16:00:00+00:00,2006-06-02 00:00:00+00:00,1,480.0
1570,2006-12-22 20:00:00+00:00,2006-12-26 08:00:00+00:00,8,5040.0
1592,2006-12-29 20:00:00+00:00,2007-01-02 04:00:00+00:00,7,4800.0
1770,2007-02-09 20:00:00+00:00,2007-02-12 08:00:00+00:00,2,3600.0
11263,2012-12-25 08:00:00+00:00,2012-12-25 16:00:00+00:00,1,480.0
11290,2012-12-31 20:00:00+00:00,2013-01-01 20:00:00+00:00,5,1440.0
12874,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
12900,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
14484,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
14510,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
16094,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
16119,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
19315,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
19340,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
20924,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
20950,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
22534,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
22560,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
24150,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
24175,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
28981,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
29006,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
30596,2024-12-25 04:00:00+00:00,2024-12-25 20:00:00+00:00,3,960.0
30622,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
32206,2025-12-25 04:00:00+00:00,2025-12-25 20:00:00+00:00,3,960.0
32232,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
