pos,last_before,first_after,missing_bars,delta_min
136,2003-09-02 20:00:00+00:00,2003-09-03 08:00:00+00:00,2,720.0
9537,2009-06-25 16:00:00+00:00,2009-06-26 08:00:00+00:00,3,960.0
15193,2012-12-25 08:00:00+00:00,2012-12-25 20:00:00+00:00,2,720.0
15219,2012-12-31 20:00:00+00:00,2013-01-01 20:00:00+00:00,5,1440.0
16803,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
16829,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
18413,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
18439,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
20023,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
20048,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
23243,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
23268,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
24852,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
24878,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
26462,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
26488,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
28078,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
28103,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
32909,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
32934,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
34524,2024-12-25 04:00:00+00:00,2024-12-25 20:00:00+00:00,3,960.0
34550,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
36134,2025-12-25 04:00:00+00:00,2025-12-25 20:00:00+00:00,3,960.0
36160,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
