pos,last_before,first_after,missing_bars,delta_min
401,2003-08-01 16:00:00+00:00,2003-08-03 20:00:00+00:00,1,3120.0
431,2003-08-08 16:00:00+00:00,2003-08-11 00:00:00+00:00,1,3360.0
15617,2012-12-31 20:00:00+00:00,2013-01-01 20:00:00+00:00,5,1440.0
17201,2013-12-25 04:00:00+00:00,2013-12-25 20:00:00+00:00,3,960.0
17227,2013-12-31 20:00:00+00:00,2014-01-01 20:00:00+00:00,5,1440.0
18811,2014-12-25 04:00:00+00:00,2014-12-25 20:00:00+00:00,3,960.0
18837,2014-12-31 20:00:00+00:00,2015-01-01 20:00:00+00:00,5,1440.0
20421,2015-12-25 04:00:00+00:00,2015-12-27 20:00:00+00:00,4,3840.0
20446,2015-12-31 20:00:00+00:00,2016-01-03 20:00:00+00:00,6,4320.0
23642,2017-12-25 04:00:00+00:00,2017-12-25 20:00:00+00:00,3,960.0
23667,2017-12-29 20:00:00+00:00,2018-01-01 20:00:00+00:00,5,4320.0
25251,2018-12-25 04:00:00+00:00,2018-12-25 20:00:00+00:00,3,960.0
25277,2018-12-31 20:00:00+00:00,2019-01-01 20:00:00+00:00,5,1440.0
26861,2019-12-25 04:00:00+00:00,2019-12-25 20:00:00+00:00,3,960.0
26887,2019-12-31 20:00:00+00:00,2020-01-01 20:00:00+00:00,5,1440.0
28477,2020-12-25 04:00:00+00:00,2020-12-27 20:00:00+00:00,4,3840.0
28502,2020-12-31 20:00:00+00:00,2021-01-03 20:00:00+00:00,6,4320.0
33310,2023-12-25 04:00:00+00:00,2023-12-25 20:00:00+00:00,3,960.0
33335,2023-12-29 20:00:00+00:00,2024-01-01 20:00:00+00:00,5,4320.0
34925,2024-12-25 04:00:00+00:00,2024-12-25 20:00:00+00:00,3,960.0
34951,2024-12-31 20:00:00+00:00,2025-01-01 20:00:00+00:00,5,1440.0
36535,2025-12-25 04:00:00+00:00,2025-12-25 20:00:00+00:00,3,960.0
36561,2025-12-31 20:00:00+00:00,2026-01-01 20:00:00+00:00,5,1440.0
