instrument,timeframe,N,M,model,price_series,indicators,segment,seeds,n_train,n_fit,n_es,n_val,excluded_gaps,h1_dir_n,h1_dir_excluded,h1_dir_acc,h1_dir_se,h1_mae_high,h1_mae_low,h1_mae_close,h2_dir_n,h2_dir_excluded,h2_dir_acc,h2_dir_se,h2_mae_high,h2_mae_low,h2_mae_close,h1_dir_acc_minus_ZERO,h1_mae_high_minus_ZERO,h1_mae_low_minus_ZERO,h1_mae_close_minus_ZERO,h1_dir_acc_minus_REPEAT,h1_mae_high_minus_REPEAT,h1_mae_low_minus_REPEAT,h1_mae_close_minus_REPEAT,h1_dir_acc_minus_MEAN,h1_mae_high_minus_MEAN,h1_mae_low_minus_MEAN,h1_mae_close_minus_MEAN
EURUSD,M5,21,2,ZERO,mid,sma100 atr14 ema21,val,,657068,591350,65696,109510,0,0,109510,,,14.917518615722656,14.975210189819336,16.7374210357666,0.0,109510.0,,,22.869298934936523,23.137540817260746,23.884504318237305,,,,,,,,,,,,
EURUSD,M5,21,2,REPEAT,mid,sma100 atr14 ema21,val,,657068,591350,65696,109510,0,105634,3876,0.4958252077929455,0.0015383959987263,14.774686813354492,14.868176460266112,23.976093292236328,106229.0,3281.0,0.4944789087725574,0.0015340815885434,33.4501838684082,33.60596466064453,41.7409553527832,,,,,,,,,,,,
EURUSD,M5,21,2,MEAN,mid,sma100 atr14 ema21,val,,657068,591350,65696,109510,0,107486,2024,0.4958413188694341,0.0015250850144209,14.917518615722656,14.975210189819336,16.738037109375,108103.0,1407.0,0.4936218236311666,0.0015207265601639,22.869298934936523,23.137540817260746,23.88568115234375,,,,,,,,,,,,
EURUSD,M5,37,1,ZERO,mid,sma100 atr14 ema21,val,,657053,591335,65681,109495,0,0,109495,,,14.917804718017578,14.975547790527344,16.73868179321289,,,,,,,,,,,,,,,,,,,
EURUSD,M5,37,1,REPEAT,mid,sma100 atr14 ema21,val,,657053,591335,65681,109495,0,105619,3876,0.4958198808926424,0.0015385052362722,14.775802612304688,14.86916732788086,23.97797584533692,,,,,,,,,,,,,,,,,,,
EURUSD,M5,37,1,MEAN,mid,sma100 atr14 ema21,val,,657053,591335,65681,109495,0,107471,2024,0.4958640005210708,0.0015251914406989,14.917804718017578,14.975547790527344,16.73929214477539,,,,,,,,,,,,,,,,,,,
EURUSD,M5,37,2,ZERO,mid,sma100 atr14 ema21,val,,657052,591334,65680,109494,0,0,109494,,,14.917865753173828,14.975350379943848,16.73853874206543,0.0,109494.0,,,22.87077140808105,23.13839530944824,23.88605690002441,,,,,,,,,,,,
EURUSD,M5,37,2,REPEAT,mid,sma100 atr14 ema21,val,,657052,591334,65680,109494,0,105618,3876,0.4958151072733814,0.0015385125196027,14.775882720947266,14.868956565856934,23.977956771850582,106213.0,3281.0,0.4944686620281886,0.0015341971317495,33.453094482421875,33.60813522338867,41.74366760253906,,,,,,,,,,,,
EURUSD,M5,37,2,MEAN,mid,sma100 atr14 ema21,val,,657052,591334,65680,109494,0,107470,2024,0.495859309574765,0.0015251985365763,14.917865753173828,14.975350379943848,16.739151000976562,108087.0,1407.0,0.4936393830895482,0.0015208391117408,22.87077140808105,23.13839530944824,23.887226104736328,,,,,,,,,,,,
EURUSD,M5,42,1,ZERO,mid,sma100 atr14 ema21,val,,657048,591330,65676,109490,0,0,109490,,,14.91770362854004,14.97544765472412,16.738401412963867,,,,,,,,,,,,,,,,,,,
EURUSD,M5,42,1,REPEAT,mid,sma100 atr14 ema21,val,,657048,591330,65676,109490,0,105614,3876,0.4958244172174144,0.001538541653959,14.775221824645996,14.868590354919434,23.97718048095703,,,,,,,,,,,,,,,,,,,
EURUSD,M5,42,1,MEAN,mid,sma100 atr14 ema21,val,,657048,591330,65676,109490,0,107466,2024,0.4958498501851748,0.0015252269210764,14.91770362854004,14.97544765472412,16.739015579223633,,,,,,,,,,,,,,,,,,,
EURUSD,M5,42,2,ZERO,mid,sma100 atr14 ema21,val,,657047,591329,65675,109489,0,0,109489,,,14.917762756347656,14.975250244140623,16.738256454467773,0.0,109489.0,,,22.87090110778809,23.138803482055664,23.885801315307617,,,,,,,,,,,,
EURUSD,M5,42,2,REPEAT,mid,sma100 atr14 ema21,val,,657047,591329,65675,109489,0,105613,3876,0.4958196434151098,0.0015385489378066,14.775301933288574,14.868379592895508,23.977161407470703,106208.0,3281.0,0.4944542783971075,0.0015342332443558,33.4527587890625,33.60751724243164,41.74329376220703,,,,,,,,,,,,
EURUSD,M5,42,2,MEAN,mid,sma100 atr14 ema21,val,,657047,591329,65675,109489,0,107465,2024,0.4958451588889406,0.0015252340174491,14.917762756347656,14.975250244140623,16.738872528076172,108082.0,1407.0,0.4936252104883329,0.0015208742892339,22.87090110778809,23.138803482055664,23.886978149414062,,,,,,,,,,,,
EURUSD,M5,108,1,ZERO,mid,sma100 atr14 ema21,val,,656982,591264,65610,109424,0,0,109424,,,14.91795825958252,14.97678565979004,16.735034942626953,,,,,,,,,,,,,,,,,,,
EURUSD,M5,108,1,REPEAT,mid,sma100 atr14 ema21,val,,656982,591264,65610,109424,0,105549,3875,0.4958739542771603,0.0015390153193454,14.772069931030272,14.86635971069336,23.971332550048828,,,,,,,,,,,,,,,,,,,
EURUSD,M5,108,1,MEAN,mid,sma100 atr14 ema21,val,,656982,591264,65610,109424,0,107401,2023,0.4957868176273964,0.0015256883914275,14.91795825958252,14.97678565979004,16.735658645629883,,,,,,,,,,,,,,,,,,,
EURUSD,M5,108,2,ZERO,mid,sma100 atr14 ema21,val,,656981,591263,65609,109423,0,0,109423,,,14.918015480041504,14.976588249206545,16.734891891479492,0.0,109423.0,,,22.86902236938477,23.13758087158203,23.883041381835938,,,,,,,,,,,,
EURUSD,M5,108,2,REPEAT,mid,sma100 atr14 ema21,val,,656981,591263,65609,109423,0,105548,3875,0.4958691780043203,0.0015390226099226,14.772150039672852,14.866147994995115,23.9713134765625,106142.0,3281.0,0.4945073580674944,0.0015347101698803,33.445823669433594,33.600677490234375,41.734954833984375,,,,,,,,,,,,
EURUSD,M5,108,2,MEAN,mid,sma100 atr14 ema21,val,,656981,591263,65609,109423,0,107400,2023,0.4957821229050279,0.0015256954942433,14.918015480041504,14.976588249206545,16.735515594482422,108016.0,1407.0,0.4935565101466449,0.0015213388610314,22.86902236938477,23.13758087158203,23.88422966003418,,,,,,,,,,,,
EURUSD,M5,21,1,ZERO,mid,sma100 atr14 ema21,val,,657069,591351,65697,109511,0,0,109511,,,14.917462348937988,14.975408554077148,16.737565994262695,,,,,,,,,,,,,,,,,,,
